"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"gsn",6.73646510920713e-21,1.88908004080948,0.473,0.012,1.60098829785417e-16
"rack1",9.67076755609668e-21,-1.84472001495992,0,0.625,2.29835461738194e-16
"nrl",1.65559932808934e-20,1.95211653902441,0.747,0.196,3.93469736313712e-16
"c4orf3",1.65841397184762e-20,1.41443507817618,0.44,0,3.94138664549305e-16
"c11orf58",1.65841397184762e-20,1.32939086203016,0.44,0,3.94138664549305e-16
"selenok",1.77842750658838e-20,-1.60894421534883,0,0.619,4.22661081215794e-16
"pltp",1.96982073185287e-20,-3.05355767023648,0.143,0.696,4.68147595132152e-16
"ube2d2",5.85656019244413e-20,1.1547899761246,0.429,0,1.39187009533627e-15
"ltbp4",7.37741845306636e-20,-2.05652913637605,0.011,0.613,1.75331726955575e-15
"selenof",1.07665173096462e-19,-1.64110725354398,0,0.601,2.55877050381052e-15
"cavin2",1.07665173096462e-19,-1.91848808770966,0,0.601,2.55877050381052e-15
"jcad",1.94494003050687e-19,-1.90013061497854,0,0.595,4.62234447650262e-15
"adirf",2.04902334040609e-19,1.93769277645321,0.418,0,4.86970887080911e-15
"ngfrap1",2.04910010264421e-19,1.61641079437403,0.418,0,4.86989130394423e-15
"sepp1",2.04910010264421e-19,1.36313802763296,0.418,0,4.86989130394423e-15
"c1orf64",2.04910010264421e-19,1.34592416192879,0.418,0,4.86989130394423e-15
"selm",2.04910010264421e-19,1.31283429016922,0.418,0,4.86989130394423e-15
"snhg8",2.04910010264421e-19,1.27958459984853,0.418,0,4.86989130394423e-15
"fam89a",2.04910010264421e-19,1.23285547715452,0.418,0,4.86989130394423e-15
"gimap7",2.04910010264421e-19,1.22999984863849,0.418,0,4.86989130394423e-15
"atp6v0e1",2.04910010264421e-19,1.2288721193965,0.418,0,4.86989130394423e-15
"pcp4l1",2.47600837132016e-19,-1.94665650012096,0.011,0.601,5.8844814952795e-15
"elob",3.49813132147795e-19,-1.55775314573678,0,0.589,8.31365889862449e-15
"sumo2",3.66824830526534e-19,1.53240196103408,0.451,0.018,8.7179589222936e-15
"qk",6.26450430075073e-19,-1.6560627950429,0,0.583,1.48882209211642e-14
"atp5g2",6.52041625773645e-19,1.43542100190185,0.451,0.018,1.54964212781364e-14
"myeov2",7.10384422308137e-19,1.26078709241158,0.407,0,1.68829961805752e-14
"sypl1",7.10384422308137e-19,1.2586741208499,0.407,0,1.68829961805752e-14
"tceal4",7.10384422308137e-19,1.20171979540935,0.407,0,1.68829961805752e-14
"qki",7.10384422308137e-19,1.12404202360828,0.407,0,1.68829961805752e-14
