"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"mrpl34",2.20062158045278e-18,-0.354228562533365,0.061,0.463,8.84891943715867e-14,40.657791816865,"CC","mrpl34"
"sv2a",2.20997647110298e-18,-0.739119657819052,0.013,0.331,8.88653638795221e-14,40.6535498049796,"CC","sv2a"
"mpc2",2.34788794097467e-18,-0.438451806273639,0.087,0.52,9.44109219945325e-14,40.5930154983748,"CC","mpc2"
"sepw1",2.38779127185787e-18,1.83374539663998,0.355,0,9.60154748326769e-14,40.5761628892774,"CC","sepw1"
"psmd7",2.39776009636331e-18,-0.491629997519581,0.052,0.434,9.64163312348649e-14,40.5719966655101,"CC","psmd7"
"zfp664",2.40046859352799e-18,-0.497453028284148,0,0.291,9.65252426143542e-14,40.5708677082939,"CC","zfp664"
"bola2",2.40046859352799e-18,-0.514720914265565,0,0.291,9.65252426143542e-14,40.5708677082939,"CC","bola2"
"zfp787",2.40046859352799e-18,-0.550790771869171,0,0.291,9.65252426143542e-14,40.5708677082939,"CC","zfp787"
"zfp266",2.40046859352799e-18,-0.649847972185999,0,0.291,9.65252426143542e-14,40.5708677082939,"CC","zfp266"
"nt5c3",2.40049368799857e-18,-0.538504408764026,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","nt5c3"
"tceal9",2.40049368799857e-18,-0.539561655886984,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","tceal9"
"arhgdib",2.40049368799857e-18,-0.542122120232237,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","arhgdib"
"a730017c20rik",2.40049368799857e-18,-0.558388713244531,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","a730017c20rik"
"acaa1a",2.40049368799857e-18,-0.634777747551029,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","acaa1a"
"h2-k1",2.40049368799857e-18,-0.637694441237006,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","h2-k1"
"akr1e1",2.40049368799857e-18,-0.649353048703103,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","akr1e1"
"qk",2.40049368799857e-18,-0.65374856064739,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","qk"
"stx5a",2.40049368799857e-18,-0.717959572075368,0,0.291,9.65262516881107e-14,40.5708572543602,"CC","stx5a"
"atp5j",2.41600792554017e-18,-0.744048789560935,0.203,0.697,9.71500946938956e-14,40.5644151133868,"CC","atp5j"
"svip",2.43499287978811e-18,-0.42091675357804,0.056,0.451,9.79134986891599e-14,40.5565878414742,"CC","svip"
"arhgap24",2.49572554143212e-18,-0.565522388283812,0.013,0.331,1.00355619746527e-13,40.5319521887937,"CC","arhgap24"
"huwe1",2.61691962169195e-18,-0.558732217006755,0.091,0.526,1.05228954907855e-13,40.4845337647286,"CC","huwe1"
