"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"jun",9.04836531096525e-18,2.7376647230992,0.74,0.093,3.63843817519224e-13,39.2439475611189,"M","jun"
"s100a6",1.64107256218755e-17,1.35480382377512,0.62,0.025,6.59891687981234e-13,38.6485965514945,"M","s100a6"
"ptpre",1.66160299064629e-17,1.44024905017503,0.7,0.076,6.68147178568779e-13,38.6361637874613,"M","ptpre"
"amd1",1.8063678178238e-17,1.34399640340517,0.56,0.008,7.26358563225126e-13,38.5526284822865,"M","amd1"
"fcgbp",2.85533338144883e-17,2.66924525085766,0.52,0,1.14815810601439e-12,38.0947579735226,"M","fcgbp"
"klf4",2.85533338144883e-17,1.74362209684519,0.52,0,1.14815810601439e-12,38.0947579735226,"M","klf4"
"hamp",2.85533338144883e-17,1.68766539186438,0.52,0,1.14815810601439e-12,38.0947579735226,"M","hamp"
"tymp",2.85533338144883e-17,1.61270700132295,0.52,0,1.14815810601439e-12,38.0947579735226,"M","tymp"
"egr2",2.85533338144883e-17,1.46695613452246,0.52,0,1.14815810601439e-12,38.0947579735226,"M","egr2"
"plaur",2.85533338144883e-17,1.44554240087461,0.52,0,1.14815810601439e-12,38.0947579735226,"M","plaur"
"dennd3",2.85533338144883e-17,1.3632305148052,0.52,0,1.14815810601439e-12,38.0947579735226,"M","dennd3"
"ms4a4a",2.85533338144883e-17,1.31515665515747,0.52,0,1.14815810601439e-12,38.0947579735226,"M","ms4a4a"
"fpr1",2.85533338144883e-17,1.24274910840198,0.52,0,1.14815810601439e-12,38.0947579735226,"M","fpr1"
"hspa1a",3.34257734744112e-17,3.51063297186918,0.54,0.008,1.34408377717955e-12,37.9372044105769,"M","hspa1a"
"nfkbiz",5.27126479408448e-17,1.77250248865392,0.54,0.008,2.11962828634931e-12,37.4816762482631,"M","nfkbiz"
"id2",6.28221532051864e-17,1.20723119302588,0.62,0.034,2.52614160253375e-12,37.3062239045788,"M","id2"
"dnaja1",7.55389600829127e-17,1.72298282524349,0.68,0.068,3.037497123894e-12,37.121883123146,"M","dnaja1"
"atp5l",8.46456865084998e-17,1.27980793595783,0.68,0.059,3.40368770019328e-12,37.0080575233929,"M","atp5l"
"hexb",1.29125562101454e-16,-3.07847040350218,0.5,0.873,5.19226797766157e-12,36.5857463933051,"M","hexb"
"padi2",1.31660716970194e-16,1.7717364546244,0.6,0.034,5.29420909008847e-12,36.5663033862489,"M","padi2"
"ccl3l3",1.42982068147514e-16,3.17163014082845,0.5,0,5.74945194227969e-12,36.4838124490657,"M","ccl3l3"
"c12orf57",1.42982068147514e-16,1.68333667416355,0.5,0,5.74945194227969e-12,36.4838124490657,"M","c12orf57"
"maff",1.42982068147514e-16,1.36405687827375,0.5,0,5.74945194227969e-12,36.4838124490657,"M","maff"
"ndufb1",1.42982068147514e-16,1.31208783333844,0.5,0,5.74945194227969e-12,36.4838124490657,"M","ndufb1"
"slc7a5",1.42982068147514e-16,1.23414964217882,0.5,0,5.74945194227969e-12,36.4838124490657,"M","slc7a5"
"tceb2",1.42982068147514e-16,1.19046589902697,0.5,0,5.74945194227969e-12,36.4838124490657,"M","tceb2"
"c14orf2",1.42982068147514e-16,1.08487640831315,0.5,0,5.74945194227969e-12,36.4838124490657,"M","c14orf2"
"serpinb1",1.42982068147514e-16,0.966502646112089,0.5,0,5.74945194227969e-12,36.4838124490657,"M","serpinb1"
