"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","logp","types","genes"
"camsap1",0.076802149161347,-0.408164250867707,0.059,0.13,1,2.56652265534835,"HC","camsap1"
"yme1l1",0.0768055163480265,0.277345918073598,0.19,0.101,1,2.56647881395972,"HC","yme1l1"
"sec14l1",0.0768431659556869,0.468943237483882,0.15,0.072,1,2.56598874000855,"HC","sec14l1"
"fam133b",0.0773938753157949,0.389772272627449,0.19,0.101,1,2.55884763180431,"HC","fam133b"
"abcd4",0.0775081588161173,0.396080513093204,0.118,0.043,1,2.55737207311719,"HC","abcd4"
"lmo1",0.0778134996752737,-0.911559288029072,0.144,0.217,1,2.5534403451732,"HC","lmo1"
"ctsf",0.0783588884980224,0.260561422829525,0.327,0.203,1,2.54645587056456,"HC","ctsf"
"nrsn2",0.0784060162584215,-0.272899749933581,0.059,0.13,1,2.54585461657991,"HC","nrsn2"
"gnaq",0.0787582383619727,0.286475076522094,0.229,0.13,1,2.54137239262778,"HC","gnaq"
"cops8",0.0796114254029514,0.495439471845148,0.131,0.058,1,2.53059766121904,"HC","cops8"
"clk1",0.0796592447170035,-0.5726484594666,0.19,0.275,1,2.52999718260671,"HC","clk1"
"cisd1",0.0797841329796447,-0.536325036061613,0.137,0.217,1,2.52843062913819,"HC","cisd1"
"nacc1",0.0813165722422218,0.280705497114946,0.118,0.043,1,2.50940544258331,"HC","nacc1"
"exoc4",0.0813757223624052,0.458801333164779,0.17,0.087,1,2.50867830153544,"HC","exoc4"
"tmem208",0.0824679103707271,0.609426614625766,0.111,0.043,1,2.4953460265114,"HC","tmem208"
"crebbp",0.0824679103707271,0.573982274117446,0.111,0.043,1,2.4953460265114,"HC","crebbp"
"eif2ak1",0.0824679103707271,0.521376725513269,0.111,0.043,1,2.4953460265114,"HC","eif2ak1"
"cog1",0.0824679103707271,0.491791973813863,0.111,0.043,1,2.4953460265114,"HC","cog1"
"tmem106b",0.0825446975879631,0.477045298735595,0.203,0.116,1,2.49441534341114,"HC","tmem106b"
"zmat3",0.0830997926166903,0.280197917303454,0.176,0.087,1,2.48771307271121,"HC","zmat3"
"slain2",0.0832741255470967,0.583417547762017,0.111,0.043,1,2.48561739574292,"HC","slain2"
"coa3",0.0833043449153185,0.322267632907051,0.137,0.058,1,2.48525457132186,"HC","coa3"
"fbxo11",0.0833322660611406,0.45035353208615,0.17,0.087,1,2.48491945713633,"HC","fbxo11"
"slc39a14",0.0836016839105927,0.455562426387335,0.15,0.072,1,2.48169161662313,"HC","slc39a14"
"pigp",0.0836732104424371,-0.454787851044197,0.052,0.116,1,2.48083641911749,"HC","pigp"
"mier1",0.0840395960124965,0.302464618405301,0.137,0.058,1,2.47646721010284,"HC","mier1"
"snx3",0.0843032267431865,0.436413738708929,0.15,0.072,1,2.47333513780074,"HC","snx3"
"psma4",0.084372817478,0.33776647278274,0.242,0.145,1,2.47250999705141,"HC","psma4"
"gps2",0.0850095260853915,0.516030943100916,0.15,0.072,1,2.46499195717853,"HC","gps2"
"ago3",0.0850095260853915,0.481742497185363,0.15,0.072,1,2.46499195717853,"HC","ago3"
"uhmk1",0.0866843829091949,-0.452480449984427,0.085,0.159,1,2.44548153934225,"HC","uhmk1"
"socs6",0.0869020438577542,0.251684146070255,0.118,0.043,1,2.44297372733543,"HC","socs6"
"reps2",0.0870702679376113,0.497216035134078,0.131,0.058,1,2.44103980887965,"HC","reps2"
"psmc2",0.087254816218675,-0.515784596261808,0.098,0.174,1,2.43892251920904,"HC","psmc2"
"cep350",0.0876618321375354,0.26635926493052,0.196,0.101,1,2.43426868371325,"HC","cep350"
"tmed2",0.0878827155866048,0.430860918027509,0.15,0.072,1,2.43175213086663,"HC","tmed2"
"ncbp2",0.0880458862239574,0.371339882238045,0.17,0.087,1,2.42989716604044,"HC","ncbp2"
"b3gat1",0.0882359477040268,-0.432244194583147,0.085,0.159,1,2.42774082866318,"HC","b3gat1"
"siva1",0.0886276937361217,0.503631999749498,0.131,0.058,1,2.42331089982593,"HC","siva1"
"ift22",0.0886276937361217,0.483039925689263,0.131,0.058,1,2.42331089982593,"HC","ift22"
"ndufb3",0.0887244273005607,-0.633407866255741,0.111,0.188,1,2.42222003524008,"HC","ndufb3"
"tmed9",0.0887428274920355,0.409896180144943,0.203,0.116,1,2.42201267088363,"HC","tmed9"
"tma7",0.0890743421342126,0.25018659025275,0.32,0.203,1,2.41828395304417,"HC","tma7"
"tcf4",0.0890915836062035,-0.368146808958962,0.105,0.188,1,2.41809040905451,"HC","tcf4"
"fopnl",0.0892164312639834,-0.356170319676955,0.052,0.116,1,2.41669004936487,"HC","fopnl"
"ndufb10",0.0898270189620355,0.280677532477492,0.229,0.13,1,2.40986946961911,"HC","ndufb10"
"pde6d",0.0901684312383831,-0.348431940047334,0.052,0.116,1,2.40607589944375,"HC","pde6d"
"ncald",0.0901684312383831,-0.390838212370592,0.052,0.116,1,2.40607589944375,"HC","ncald"
"eif2b5",0.0902074934559898,0.375910071090934,0.131,0.058,1,2.40564277935542,"HC","eif2b5"
"calr",0.0906200640917064,-0.59476807755053,0.137,0.217,1,2.40107963248554,"HC","calr"
"arl8a",0.0906202788391507,0.314298710228733,0.19,0.101,1,2.40107726273231,"HC","arl8a"
"ubqln1",0.0907746367843506,0.340629595111903,0.216,0.116,1,2.39937536296376,"HC","ubqln1"
"slc9a6",0.0910058488458961,0.454574999415452,0.131,0.058,1,2.39683150149888,"HC","slc9a6"
"pard6a",0.0910058488458961,0.437876984719756,0.131,0.058,1,2.39683150149888,"HC","pard6a"
"tmco1",0.0910616226528292,0.266097117730883,0.229,0.13,1,2.39621882963368,"HC","tmco1"
"srp19",0.0911285893951779,-0.414003422192713,0.052,0.116,1,2.39548369963288,"HC","srp19"
"sorl1",0.0914132188752344,-0.428289540768095,0.157,0.246,1,2.39236518433576,"HC","sorl1"
"fam189b",0.0915837852238461,0.488961782610001,0.15,0.072,1,2.39050104017837,"HC","fam189b"
"atox1",0.0917575733760044,-0.775854070279592,0.098,0.174,1,2.38860525184632,"HC","atox1"
"pnkp",0.0918098760636231,0.476777815603584,0.131,0.058,1,2.38803540474985,"HC","pnkp"
"wrb",0.0918098760636231,0.368651794106646,0.131,0.058,1,2.38803540474985,"HC","wrb"
"pcyox1",0.0919694968551477,0.255837561402878,0.19,0.101,1,2.38629831283222,"HC","pcyox1"
"itgav",0.0920969510899217,-0.321963293263873,0.052,0.116,1,2.38491344061279,"HC","itgav"
"rgs7",0.0922591039884881,0.513889247182101,0.183,0.101,1,2.38315431270877,"HC","rgs7"
"timm50",0.0925704534044577,0.386540630215725,0.111,0.043,1,2.37978526595177,"HC","timm50"
"wapl",0.0926501325371991,0.319897676771236,0.19,0.101,1,2.37892489573696,"HC","wapl"
"iscu",0.0932628045789485,0.415962861465809,0.163,0.087,1,2.37233391536543,"HC","iscu"
"cadps",0.0938893815808732,-0.525970057142795,0.17,0.261,1,2.36563798136802,"HC","cadps"
"tnks",0.0939959635005687,0.473578253251825,0.163,0.087,1,2.36450343911746,"HC","tnks"
"fgf9",0.0950832247352578,0.311163773481939,0.131,0.058,1,2.35300272104448,"HC","fgf9"
"jade1",0.0952454921804894,0.526147395636873,0.111,0.043,1,2.35129759228433,"HC","jade1"
"fra10ac1",0.0954090997009364,0.388091758484978,0.15,0.072,1,2.3495813203709,"HC","fra10ac1"
"snrpc",0.0961508076627064,0.421492262394538,0.111,0.043,1,2.34183740695448,"HC","snrpc"
"fam69b",0.0961508076627064,0.381584710960302,0.111,0.043,1,2.34183740695448,"HC","fam69b"
"cbx3",0.0962232014271935,0.563909329399046,0.163,0.087,1,2.34108477131262,"HC","cbx3"
"aff4",0.0967648696856588,0.356829227730554,0.255,0.159,1,2.33547126704019,"HC","aff4"
"wsb2",0.0968192925560298,0.251239040218868,0.19,0.101,1,2.33490900129309,"HC","wsb2"
"mcur1",0.0970629964869888,0.341001209280001,0.111,0.043,1,2.33239506295958,"HC","mcur1"
"rnaseh1",0.0970629964869888,0.311056182881144,0.111,0.043,1,2.33239506295958,"HC","rnaseh1"
"slc41a3",0.0970629964869888,0.264484385120671,0.111,0.043,1,2.33239506295958,"HC","slc41a3"
"hdac7",0.0979820918435136,0.323297862503688,0.111,0.043,1,2.32297055330055,"HC","hdac7"
"casc4",0.0981173222569809,0.339236960785365,0.17,0.087,1,2.32159135045567,"HC","casc4"
"dvl3",0.0984001936077279,0.295414746228449,0.209,0.116,1,2.31871250736765,"HC","dvl3"
"pnkd",0.0985322501997013,0.503556265379143,0.124,0.058,1,2.31737137119716,"HC","pnkd"
